time,google
2021-08-03,-40.0
2021-08-04,-38.0
2021-08-05,-41.0
2021-08-06,-42.0
2021-08-07,-58.0
2021-08-08,-46.0
2021-08-09,-37.0
2021-08-10,-36.0
2021-08-11,-35.0
2021-08-12,-37.0
2021-08-13,-35.0
2021-08-14,-42.0
2021-08-15,-39.0
